Q11,Q12,Q13,Q14,Q15,Q16,Q21,Q22,Q23,Q24,Q25,Q26,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q42,Q43,Q44,Q45,Q46,Q51,Q52,Q53,Q54,Q55,Q56,Q61,Q62,Q63,Q64,Q65,Q66,Q71,Q72,Q73,Q74,Q75,Q76,Q81,Q82,Q83,Q84,Q85,Q86,Q91,Q92,Q93,Q94,Q95,Q96,Q101,Q102,Q103,Q104,Q105,Q106,Q111,Q112,Q113,Q114,Q115,Q116,Q121,Q122,Q123,Q124,Q125,Q126,Q131,Q132,Q133,Q134,Q135,Q136,
12,0,2,0,0,0,8.98213,7.95747,2.92308,0,0,0,1.44644,11.9125,3.84615,0,0,0,-6.81678,9.87581,4.76923,0,0,0,-11.6513,2.87179,5.69231,0,0,0,-10.6255,-5.57668,6.61538,0,0,0,-4.25526,-11.2202,7.53846,0,0,0,4.25526,-11.2202,8.46154,0,0,0,10.6255,-5.57668,9.38462,0,0,0,11.6513,2.87179,10.3077,0,0,0,6.81678,9.87581,11.2308,0,0,0,-1.44644,11.9125,12.1538,0,0,0,-8.98213,7.95747,13.0769,0,0,0,
12.0183,-0.00436602,6.00027,0.0140334,-0.00889003,0.00100984,9.00096,7.95762,6.92335,0.0140334,-0.00889003,0.00100984,1.46469,11.9172,7.84642,0.0140334,-0.00889003,0.00100984,-6.83437,9.86764,8.76975,0.0567202,0.0300642,-0.00251508,-11.6373,2.88438,9.69258,0.0140334,-0.00889003,0.00100984,-10.6149,-5.5611,10.6157,0.0140334,-0.00889003,0.00100984,-4.24872,-11.2025,11.5387,0.0140334,-0.00889003,0.00100984,4.25738,-11.2015,12.4618,0.0140334,-0.00889003,0.00100984,10.6231,-5.558,13.3849,0.0140334,-0.00889003,0.00100984,11.6445,2.88935,14.308,0.0140334,-0.00889003,0.00100984,6.80596,9.89122,15.231,0.0140334,-0.00889003,0.00100984,-1.46063,11.9249,16.1541,0.0140334,-0.00889003,0.00100984,-8.99887,7.9661,17.0772,0.0140334,-0.00889003,0.00100984,
12.0003,-0.00649082,9.99998,-0.0148592,-0.0210326,-0.00241504,8.98396,7.95124,10.9231,-0.0148592,-0.0210326,-0.00241504,1.44971,11.9069,11.8461,-0.0148592,-0.0210326,-0.00241504,-6.81687,9.87584,12.7694,-0.0169652,0.0189982,-0.00836206,-11.6458,2.86833,13.6923,-0.0148592,-0.0210326,-0.00241504,-10.6193,-5.57871,14.6154,-0.0148592,-0.0210326,-0.00241504,-4.24878,-11.2207,15.5384,-0.0148592,-0.0210326,-0.00241504,4.26167,-11.2191,16.4615,-0.0148592,-0.0210326,-0.00241504,10.6314,-5.57411,17.3846,-0.0148592,-0.0210326,-0.00241504,11.6565,2.87571,18.3077,-0.0148592,-0.0210326,-0.00241504,6.82087,9.88085,19.2308,-0.0148592,-0.0210326,-0.00241504,-1.44368,11.9184,20.1538,-0.0148592,-0.0210326,-0.00241504,-8.98085,7.96384,21.0769,-0.0148592,-0.0210326,-0.00241504,
11.9769,0.000863626,13.9996,0.00880814,-0.0420327,0.00837799,8.95949,7.95278,14.9227,0.00880814,-0.0420327,0.00837799,1.42558,11.9025,15.8458,0.00880814,-0.0420327,0.00837799,-6.81668,9.87577,16.7691,0.0170498,-0.0190793,0.00836206,-11.6651,2.85327,17.6919,0.00880814,-0.0420327,0.00837799,-10.6345,-5.59797,18.615,0.00880814,-0.0420327,0.00837799,-4.2589,-11.243,19.5381,0.00880814,-0.0420327,0.00837799,4.25719,-11.2432,20.4611,0.00880814,-0.0420327,0.00837799,10.6329,-5.59859,21.3842,0.00880814,-0.0420327,0.00837799,11.6637,2.85228,22.3073,0.00880814,-0.0420327,0.00837799,6.8335,9.85984,23.2304,0.00880814,-0.0420327,0.00837799,-1.42639,11.901,24.1535,0.00880814,-0.0420327,0.00837799,-8.9599,7.9511,25.0765,0.00880814,-0.0420327,0.00837799,
