Q11,Q12,Q13,Q14,Q15,Q16,Q21,Q22,Q23,Q24,Q25,Q26,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q42,Q43,Q44,Q45,Q46,Q51,Q52,Q53,Q54,Q55,Q56,Q61,Q62,Q63,Q64,Q65,Q66,Q71,Q72,Q73,Q74,Q75,Q76,Q81,Q82,Q83,Q84,Q85,Q86,Q91,Q92,Q93,Q94,Q95,Q96,Q101,Q102,Q103,Q104,Q105,Q106,Q111,Q112,Q113,Q114,Q115,Q116,Q121,Q122,Q123,Q124,Q125,Q126,Q131,Q132,Q133,Q134,Q135,Q136,
12,0,2,0,0,0,6.81678,8.10582,2.92308,0,0,0,-4.25526,2.10809,3.84615,0,0,0,-11.6513,-10.1305,4.76923,0,0,0,-8.98213,-12.3772,5.69231,0,0,0,1.44644,-4.99709,6.61538,0,0,0,10.6255,-0.245497,7.53846,0,0,0,10.6255,0.245497,8.46154,0,0,0,1.44644,4.99709,9.38462,0,0,0,-8.98213,12.3772,10.3077,0,0,0,-11.6513,10.1305,11.2308,0,0,0,-4.25526,-2.10809,12.1538,0,0,0,6.81678,-8.10582,13.0769,0,0,0,
12.0196,-0.0445355,6.00249,0.0218544,-0.0179916,0.0208265,6.85485,8.08408,6.92556,0.0218544,-0.0179916,0.0208265,-4.20746,2.12213,7.84864,0.0218544,-0.0179916,0.0208265,-11.3354,-9.85302,8.74209,0.146853,0.0722744,-0.0196952,-8.94745,-12.329,9.69479,0.0218544,-0.0179916,0.0208265,1.46128,-4.95391,10.6179,0.0218544,-0.0179916,0.0208265,10.6171,-0.204266,11.5409,0.0218544,-0.0179916,0.0208265,10.5958,0.29585,12.464,0.0218544,-0.0179916,0.0208265,1.40221,5.05975,13.3871,0.0218544,-0.0179916,0.0208265,-9.03073,12.4384,14.3102,0.0218544,-0.0179916,0.0208265,-11.6931,10.1666,15.2333,0.0218544,-0.0179916,0.0208265,-4.28076,-2.1124,16.1563,0.0218544,-0.0179916,0.0208265,6.81346,-8.14371,17.0794,0.0218544,-0.0179916,0.0208265,
11.9435,0.00943122,9.99958,-0.0502205,-0.0278089,0.0297149,6.76241,8.0889,10.9227,-0.0502205,-0.0278089,0.0297149,-4.29509,2.08067,11.8457,-0.0502205,-0.0278089,0.0297149,-11.6551,-10.1338,12.7756,-0.0523636,0.0607971,-0.0444959,-8.97093,-12.37,13.6919,-0.0502205,-0.0278089,0.0297149,1.48244,-4.98027,14.615,-0.0502205,-0.0278089,0.0297149,10.678,-0.242077,15.538,-0.0502205,-0.0278089,0.0297149,10.6825,0.222683,16.4611,-0.0502205,-0.0278089,0.0297149,1.49495,4.95786,17.3842,-0.0502205,-0.0278089,0.0297149,-8.95329,12.3469,18.3073,-0.0502205,-0.0278089,0.0297149,-11.6487,10.1291,19.2303,-0.0502205,-0.0278089,0.0297149,-4.27956,-2.08273,20.1534,-0.0502205,-0.0278089,0.0297149,6.77117,-8.07627,21.0765,-0.0502205,-0.0278089,0.0297149,
11.6945,0.00981806,13.9841,0.0390743,-0.11479,0.0918105,6.5417,7.98668,14.9072,0.0390743,-0.11479,0.0918105,-4.43689,1.96419,15.8303,0.0390743,-0.11479,0.0918105,-11.6475,-10.1271,16.7628,0.0504949,-0.0637193,0.0444959,-8.88298,-12.2879,17.6764,0.0390743,-0.11479,0.0918105,1.6686,-4.85711,18.5995,0.0390743,-0.11479,0.0918105,10.9198,-0.184604,19.5226,0.0390743,-0.11479,0.0918105,10.9244,0.164414,20.4457,0.0390743,-0.11479,0.0918105,1.68162,4.83378,21.3687,0.0390743,-0.11479,0.0918105,-8.86462,12.2638,22.2918,0.0390743,-0.11479,0.0918105,-11.6784,10.1585,23.2149,0.0390743,-0.11479,0.0918105,-4.42073,-1.96633,24.138,0.0390743,-0.11479,0.0918105,6.55083,-7.97353,25.061,0.0390743,-0.11479,0.0918105,
