Q11,Q12,Q13,Q14,Q15,Q16,Q21,Q22,Q23,Q24,Q25,Q26,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q42,Q43,Q44,Q45,Q46,Q51,Q52,Q53,Q54,Q55,Q56,Q61,Q62,Q63,Q64,Q65,Q66,Q71,Q72,Q73,Q74,Q75,Q76,Q81,Q82,Q83,Q84,Q85,Q86,Q91,Q92,Q93,Q94,Q95,Q96,Q101,Q102,Q103,Q104,Q105,Q106,Q111,Q112,Q113,Q114,Q115,Q116,Q121,Q122,Q123,Q124,Q125,Q126,Q131,Q132,Q133,Q134,Q135,Q136,
12,0,2,0,0,0,10.6255,5.57668,2.92308,0,0,0,6.81678,9.87581,3.84615,0,0,0,1.44644,11.9125,4.76923,0,0,0,-4.25526,11.2202,5.69231,0,0,0,-8.98213,7.95747,6.61538,0,0,0,-11.6513,2.87179,7.53846,0,0,0,-11.6513,-2.87179,8.46154,0,0,0,-8.98213,-7.95747,9.38462,0,0,0,-4.25526,-11.2202,10.3077,0,0,0,1.44644,-11.9125,11.2308,0,0,0,6.81678,-9.87581,12.1538,0,0,0,10.6255,-5.57668,13.0769,0,0,0,
12.0323,-0.0121352,6.00056,0.0151853,-0.00945285,0.00286559,10.6578,5.56454,6.92364,0.0151853,-0.00945285,0.00286559,6.84906,9.86367,7.84672,0.0151853,-0.00945285,0.00286559,1.41627,11.9146,8.7702,0.0674718,0.0384579,-0.00539073,-4.22298,11.2081,9.69287,0.0151853,-0.00945285,0.00286559,-8.94985,7.94534,10.6159,0.0151853,-0.00945285,0.00286559,-11.619,2.85965,11.539,0.0151853,-0.00945285,0.00286559,-11.619,-2.88392,12.4621,0.0151853,-0.00945285,0.00286559,-8.94985,-7.96961,13.3852,0.0151853,-0.00945285,0.00286559,-4.22298,-11.2323,14.3083,0.0151853,-0.00945285,0.00286559,1.47872,-11.9246,15.2313,0.0151853,-0.00945285,0.00286559,6.84906,-9.88794,16.1544,0.0151853,-0.00945285,0.00286559,10.6578,-5.58881,17.0775,0.0151853,-0.00945285,0.00286559,
12.0013,-0.00583271,10.0001,-0.0193386,-0.0231059,-0.00383789,10.6268,5.57085,10.9232,-0.0193386,-0.0231059,-0.00383789,6.81812,9.86997,11.8463,-0.0193386,-0.0231059,-0.00383789,1.44627,11.9128,12.7698,-0.0238109,0.026875,-0.0151777,-4.25392,11.2144,13.6924,-0.0193386,-0.0231059,-0.00383789,-8.98079,7.95164,14.6155,-0.0193386,-0.0231059,-0.00383789,-11.65,2.86596,15.5386,-0.0193386,-0.0231059,-0.00383789,-11.65,-2.87762,16.4617,-0.0193386,-0.0231059,-0.00383789,-8.98079,-7.9633,17.3848,-0.0193386,-0.0231059,-0.00383789,-4.25392,-11.226,18.3078,-0.0193386,-0.0231059,-0.00383789,1.44778,-11.9183,19.2309,-0.0193386,-0.0231059,-0.00383789,6.81812,-9.88164,20.154,-0.0193386,-0.0231059,-0.00383789,10.6268,-5.58251,21.0771,-0.0193386,-0.0231059,-0.00383789,
11.9489,0.00204672,13.999,0.0125756,-0.0510432,0.016061,10.5743,5.57872,14.922,0.0125756,-0.0510432,0.016061,6.76565,9.87785,15.8451,0.0125756,-0.0510432,0.016061,1.44661,11.9122,16.7687,0.0238569,-0.0271798,0.0151777,-4.30638,11.2222,17.6913,0.0125756,-0.0510432,0.016061,-9.03325,7.95952,18.6143,0.0125756,-0.0510432,0.016061,-11.7024,2.87383,19.5374,0.0125756,-0.0510432,0.016061,-11.7024,-2.86974,20.4605,0.0125756,-0.0510432,0.016061,-9.03325,-7.95543,21.3836,0.0125756,-0.0510432,0.016061,-4.30638,-11.2181,22.3066,0.0125756,-0.0510432,0.016061,1.39532,-11.9105,23.2297,0.0125756,-0.0510432,0.016061,6.76565,-9.87376,24.1528,0.0125756,-0.0510432,0.016061,10.5743,-5.57463,25.0759,0.0125756,-0.0510432,0.016061,
