Q11,Q12,Q13,Q14,Q15,Q16,Q21,Q22,Q23,Q24,Q25,Q26,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q42,Q43,Q44,Q45,Q46,Q51,Q52,Q53,Q54,Q55,Q56,Q61,Q62,Q63,Q64,Q65,Q66,Q71,Q72,Q73,Q74,Q75,Q76,Q81,Q82,Q83,Q84,Q85,Q86,Q91,Q92,Q93,Q94,Q95,Q96,Q101,Q102,Q103,Q104,Q105,Q106,Q111,Q112,Q113,Q114,Q115,Q116,Q121,Q122,Q123,Q124,Q125,Q126,Q131,Q132,Q133,Q134,Q135,Q136,
12,0,2,0,0,0,10.6255,5.57668,2.92308,0,0,0,6.81678,9.87581,3.84615,0,0,0,1.44644,11.9125,4.76923,0,0,0,-4.25526,11.2202,5.69231,0,0,0,-8.98213,7.95747,6.61538,0,0,0,-11.6513,2.87179,7.53846,0,0,0,-11.6513,-2.87179,8.46154,0,0,0,-8.98213,-7.95747,9.38462,0,0,0,-4.25526,-11.2202,10.3077,0,0,0,1.44644,-11.9125,11.2308,0,0,0,6.81678,-9.87581,12.1538,0,0,0,10.6255,-5.57668,13.0769,0,0,0,
12.0196,-0.0445355,6.00249,0.0218544,-0.0179916,0.0208265,-0.00318757,0.00773484,5.4455,0.581865,-1.26294,-0.143624,-0.00350432,-0.000547814,6.29046,1.35764,-0.0535439,-0.537053,-0.00315876,-0.00278789,7.30412,1.30637,0.0665534,-0.112779,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-0.00315444,0.00278455,13.6618,-1.36259,-0.0685757,0.109561,-0.00355338,0.000594876,14.6036,-1.31381,-0.593299,0.461101,-0.00319099,-0.00772477,15.569,-0.681001,-1.26106,0.247007,
11.9435,0.00943122,9.99958,-0.0502205,-0.0278089,0.0297149,-0.000182544,0.000535141,10.9515,0.036401,-0.158226,0.192637,-0.000247255,-8.83971e-05,11.9729,0.411569,-0.232562,-0.177631,-1.20329e-07,-1.07971e-07,12.7756,-0.0540796,0.0599296,-0.0445663,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-0.000162683,0.000143545,19.3717,-0.494705,-0.011463,0.0583458,-0.000171451,2.05452e-05,20.288,-0.419717,-0.249013,0.0387001,-6.19554e-05,-0.000453684,21.207,-0.200809,-0.434822,-0.0503878,
11.6945,0.00981806,13.9841,0.0390743,-0.11479,0.0918105,0.000182544,-0.000535141,14.8948,0.0518634,-0.167615,0.174695,0.000247255,8.83971e-05,15.7196,-0.094051,0.191196,0.0337738,1.20329e-07,1.07971e-07,16.7628,0.0487166,-0.0644269,0.0445663,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.000162683,-0.000143545,23.09,0.216699,-0.0207594,0.10792,0.000171451,-2.05452e-05,24.0199,0.199399,0.0751597,0.0575391,6.19554e-05,0.000453684,24.947,0.144316,0.155542,0.029534,
